Date,Content,Rating
4/8/2019,"The app sometimes doesn't play on 4G, if you stop during a lecture and leave the app, it doesn't remember where it stopped and you have to start over. You can't view the lectures at both landscape positions, but only the one that the designers thought of which sucks. but worse of all - if you add subtitles, YOU CAN'T REMOVE IT!!!",1
4/8/2019,"Excellent app! Does nearly everything the web version does and allows for screen-off audio, which is great for running/walking/driving.",5
4/8/2019,good application,5
4/6/2019,Excellent contents,5
4/5/2019,"There is a critical bug in app. If you go to home screen or even switch off display, still video keeps playing on. That is weird, I have seen such thing first time ever for any app",3
4/5/2019,worth it,5
4/5/2019,i love pluralsight. the quality of the content is great. The Android app can be frustrating. If i switch between the pluralsight app and another app the video will restart from the beginning. Ugg. The offline videos feature of the app is nice though.,3
4/3/2019,"Can't cast to Chromecast. The only way I'm able to cast this app is to mirror my entire S7's screen. Would love to be able to cast the app successfully to my TV. I use Chromecast everyday with other apps & no issues. When casting with this, only the Pluralsight logo appears on the screen, no audio, and play/pause buttons are nonresponsive.",2
4/2/2019,awesome app! I use it almost every day,5
4/2/2019,Excellent training platform!,5
4/2/2019,a lot of bugs.,1
4/2/2019,worst app not even buffering even if i have good internet,1
4/1/2019,It is such a boon for anyone who wants to excel in technical world. We have learnt about off the job and on the job trainings in Business Management rules. This is the new world of anytime training. There is a vast collection of courses for everyone. Although there are some glitches like videos get an error if I flip my phone from horizontal to vertical or vice-a-versa while playing a video. So it gets started from the beginning. Sometimes I had the whole chapter getting started from scratch.,4
4/1/2019,make this app moveable to sd card on android 5.1 please. thank you,1
4/1/2019,Pluralsight is simply the best platform. This app is great companion for learning on the go.,5
3/31/2019,superb,5
3/29/2019,had to reinstall and after Android update seems to work well enough now,3
3/29/2019,Awesome educational courses for attaining certifications. I have attained three CompTIA certifications and four Microsoft's certifications.,5
3/27/2019,cool learning platform but the subscription is not one off payment,5
3/27/2019,5star,5
3/26/2019,download button not working in the new update,2
3/26/2019,great app to learn new tech,5
3/25/2019,very handy and useful,5
3/21/2019,why am I not able to change the logged in user ? is that restricted ? am i missing something obvious ?,1
3/20/2019,Great learning tool,5
3/20/2019,nice,4
3/20/2019,Works great! Love that I can access content on the go.,5
3/20/2019,USEFUL APP,5
3/20/2019,App crashes on clicking downloads tab with the new update.,2
3/19/2019,Good learning app,4
3/18/2019,Great app! I've been using it for 1 month and its really good.,5
3/18/2019,Amazing app! Its everything what you need to improve your skills. Its very easy to use and the content is highly recommended.,5
3/18/2019,add free weekly courses on mobile app also,1
3/17/2019,"Cannot play using 4G. Settingsturbed off requirement for wifi only playback / download - yet everytime I try to playback in mobile connection, it says wifi required for playback and change settings. It's a joke.",1
3/15/2019,Exceptional App for inspiring professionals. Great Educational video content.,5
3/14/2019,This app is the best for learning with great contnent. offline option is the best.,5
3/13/2019,Every time I change the settings to stream video over cellular data it just doesn't work.The video does not stream and the same message comes back after a few tries.,1
3/12/2019,Strongly recommend this app. Totally satisfied.,5
3/11/2019,W@ a useful up to explore your I.T knowledge,5
3/10/2019,Very wide range of cources. you can find any cource here. Good clarity videos and nice explanations. Thanks to the plural sight team.,5
3/9/2019,Each course has good content on developing new technologies knowledge.,5
3/9/2019,Expensive but fantastic learning aid - worth paying for 2 or 3 months before an exam to help with study,5
3/7/2019,one of the useful app in my phone. Glad pluralsight has offline player. Making use of my commute time,5
3/5/2019,"for some reason this doesnt synchronize with other devices. I use pluralsight on my pc and mobile, and when I download something on my phone, I can't see the progress on my computer. that's really anoyying. any fixes coming for this issue?",3
3/5/2019,good,5
3/4/2019,good one,5
3/4/2019,"One of the best and my always preferred go to platform for learning. The materials, contents and quality are top notch, and delivered via almost all sources like mobile app, cast options etc.",5
