Date,Title,Content,Name,Rating,Version
4/7/2019,App is unusable,"I love Pluralsight. But now- when I start it on my IPhone SE, it closes within 10 seconds. I hope they resolve it fast. It would figure, I am traveling for work and have several hours of time I expected to get a course knocked out- to refresh for some work in the next week- and it’s me who’s getting knocked out. Fix it.",Cavaunt,1,2.52
3/29/2019,"Great app overall, but it keeps crashing",Today when I open the app it just repeatedly crashes. It’s currently unusable.,Kawaiiblue,3,2.52
3/26/2019,Could Not Login with App,"Logged in fine with Safari, but this app simply doesn’t work for me.  It just says “The data couldn’t be read because it isn’t in the right format”.  (And Yes, I’m sure my ID and PW are correct; they work fine in Safari).",Rirst Fate,1,2.52
3/17/2019,Hate the authorisation part,"My company provides the subscription to this guys, but the struggle is real when it comes to activate your account thru mobile. I’ll definitely raise the ticket to the upper management to switch to another portal, like cloudAcademy or linux academy. 
I don’t want my other fellow 3500+ software Engineers in my company to go thru this pain. I’m done with you guys!",Hahshd xbbbbshahaj,1,2.52
3/10/2019,Excellent Online Learning platform,Great content overall and instructors here are very knowledgeable.,Dilip bs,5,2.52
2/28/2019,"I like the app, but it constantly crashes and buffers","I think the app and course content are great, but the app crashes and buffers constantly. If I’ve downloaded a whole course it will still buffer for 30-60 seconds at the start of every module unless I push play or refresh. Maybe they just don’t support iPhone 6 plus since it’s old?  It’s not like you need a new phone to watch some videos, though. I’m disappointed that I’m paying $35/mo for this service and can’t use the content on my phone. If the app worked I’d keep the service, but looks like I’ll switch to YouTube premium or try the udemy app.",AudioSpeeder,1,2.51
2/22/2019,Mac OS,Great videos but I wish they had more up to date ones about the latest os out there Mojave,dzMacNutz86,5,2.51
2/20/2019,Excellent Intro,Good material for newbies and simple refresher for some experienced devs,gchandra,5,2.51
2/18/2019,Casting stinks,Casing a course stinks.  If the device screen locks the course does not keep playing on the casted device.  Trying to go to next lecture after this happens screws up the chrome cast :(,Hdhshahdydnejs,2,2.51
2/5/2019,Excellent Explanation,I m really enjoying the video classes,vishnu.kalathuru,5,2.5
1/15/2019,VP,Resourceful,Langoori,5,2.49
1/14/2019,Fantastic library,"Voluminous source of educational materials delivered in easy to comprehend, easy to use format",Виталий 185739357920,5,2.49
1/12/2019,Crashes at launch,"Great content. App is generally stable. After latest update, the app crashes at launch and gets no further. 

I hope this is addressed quickly.",my nickname is arp,2,2.49
1/10/2019,Missing content,Examples: CCSP,khalid55555,3,2.49
1/7/2019,Almost 5 stars,"Missing a casting option. When sitting on the couch, it would be great if I could cast to my tv and watch.",Bigguyadocious,4,2.48
12/29/2018,"Great content, quirky implementation","Critique applies to iOS app, not course content:

1) Courses downloaded to device for offline viewing are not eligible for casting (iOS to Google Chromecast).  What is the business purpose of this?  I download the content so I don’t burn through my data plan while commuting, then must deselect the download option to cast it once I get home to continue studying.  Then, before I leave the next morning, I must download the content again.  

2) App becomes unstable when Chromecasting.  Anything more than 2 ten second rewinds in a row will cause the app to encounter casting disconnect, syncing, or create a non-responsive environment, requiring app force close and restart.  I also encounter other misc failures and I’m willing to provide logs, if applicable.  

I appreciate any help with these issues.  All apps and iOS updates current as of today’s date.

Thanks!
Skip",101010Skip101010,3,2.48
12/28/2018,Best Training App,This is the best trading app on the market.,Team_noles,5,2.48
12/22/2018,Demands me to rate app,2 stars because the app is annoying and demanding me to rate it. I haven’t had a chance to use it yet. Now if it asked a week after downloading that would be acceptable,bishddisjt,2,2.48
12/22/2018,Great Service,"I like learning on my phone and while driving on my long commute. 

I am able to do that now with ease. 

Thanks.",TheCarbonator,5,2.48
12/19/2018,"Good app, great site","Easy to use, allows downloads for offline studying, and excellent courses. 

I subtracted one star because the app will only use the accelerometer to go full screen--there's no full screen button. At least it obeys the lock orientation setting!",baonus,4,2.48
12/8/2018,My app keeps crashing on iPhone Xs Max,My app keeps crashing,swany_9,5,2.47
